Sender: LSF System <lsfadmin@c-195-34>
Subject: Job 974030: <python Bayes_MAP.py --MAP> in cluster <killdevil> Done

Job <python Bayes_MAP.py --MAP> was submitted from host <killdevil-login2> by user <wcstrick> in cluster <killdevil>.
Job was executed on host(s) <12*c-195-34>, in queue <week>, as user <wcstrick> in cluster <killdevil>.
</nas02/home/w/c/wcstrick> was used as the home directory.
</nas02/home/w/c/wcstrick/Parasitoids_h_2/analytic> was used as the working directory.
Started at Mon Aug  8 12:29:23 2016
Results reported on Tue Aug  9 02:09:49 2016

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
python Bayes_MAP.py --MAP
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   421153.84 sec.
15.6 sec./model at 14:44:20 08/08/2016
15.5 sec./model at 14:44:35 08/08/2016
15.6 sec./model at 14:44:51 08/08/2016
15.5 sec./model at 14:45:07 08/08/2016
15.5 sec./model at 14:45:22 08/08/2016
15.5 sec./model at 14:45:38 08/08/2016
15.5 sec./model at 14:45:53 08/08/2016
15.5 sec./model at 14:46:09 08/08/2016
15.5 sec./model at 14:46:24 08/08/2016
15.5 sec./model at 14:46:40 08/08/2016
15.6 sec./model at 14:46:55 08/08/2016
15.5 sec./model at 14:47:11 08/08/2016
15.6 sec./model at 14:47:26 08/08/2016
15.5 sec./model at 14:47:42 08/08/2016
15.5 sec./model at 14:47:58 08/08/2016
15.6 sec./model at 14:48:13 08/08/2016
15.5 sec./model at 14:48:29 08/08/2016
15.5 sec./model at 14:48:44 08/08/2016
15.5 sec./model at 14:49:00 08/08/2016
15.5 sec./model at 14:49:15 08/08/2016
15.5 sec./model at 14:49:31 08/08/2016
15.5 sec./model at 14:49:46 08/08/2016
15.5 sec./model at 14:50:02 08/08/2016
15.5 sec./model at 14:50:17 08/08/2016
15.5 sec./model at 14:50:33 08/08/2016
15.6 sec./model at 14:50:48 08/08/2016
15.5 sec./model at 14:51:04 08/08/2016
15.5 sec./model at 14:51:20 08/08/2016
15.5 sec./model at 14:51:35 08/08/2016
15.5 sec./model at 14:51:51 08/08/2016
15.5 sec./model at 14:52:06 08/08/2016
15.6 sec./model at 14:52:22 08/08/2016
15.5 sec./model at 14:52:37 08/08/2016
15.6 sec./model at 14:52:53 08/08/2016
